year,country,gdp,%,country_ukr,gdpu,%_ukr
2032,Georgia,31306.50489,5,Ukraine,28922.95697,7.2
2033,Georgia,33554.65853,5,Ukraine,31308.33101,7.2
2034,Georgia,35964.2545,5,Ukraine,33890.43491,7.2
2035,Georgia,38546.88613,5,Ukraine,36685.49365,7.2
2036,Georgia,41314.9793,5,Ukraine,39711.07033,7.2
2037,Georgia,44281.85221,5,Ukraine,42986.17655,7.2
2038,Georgia,47461.77944,5,Ukraine,46531.39185,7.2
2039,Georgia,50870.06064,5,Ukraine,50368.99304,7.2
2040,Georgia,54523.09418,5,Ukraine,54523.09418,7.2
1992,Kazakhstan,7025.308,4.9,Ukraine,6136.614,16.5
1993,Kazakhstan,6588.057,4.9,Ukraine,5368.863,16.5
1994,Kazakhstan,6291.374,4.9,Ukraine,4269.102,16.5
1995,Kazakhstan,5942.645,4.9,Ukraine,3861.047,16.5
1996,Kazakhstan,6158.04,4.9,Ukraine,3577.554,16.5
1997,Kazakhstan,6492.589,4.9,Ukraine,3553.328,16.5
1998,Kazakhstan,6538.606,4.9,Ukraine,3557.193,16.5
1999,Kazakhstan,6842.487,4.9,Ukraine,3635.86,16.5
2000,Kazakhstan,7702.602,4.9,Ukraine,3975.704,16.5
2001,Kazakhstan,8950.427,4.9,Ukraine,4480.447,16.5
2002,Kazakhstan,9967.869,4.9,Ukraine,4834.009,16.5
2003,Kazakhstan,11049.43,4.9,Ukraine,5442.968,16.5
2004,Kazakhstan,12341.171,4.9,Ukraine,6297.662,16.5
2005,Kazakhstan,13841.156,4.9,Ukraine,6750.262,16.5
2006,Kazakhstan,15613.132,4.9,Ukraine,7530.139,16.5
2007,Kazakhstan,17263.376,4.9,Ukraine,8415.153,16.5
2008,Kazakhstan,17937.885,4.9,Ukraine,8816.413,16.5
2009,Kazakhstan,17816.623,4.9,Ukraine,7568.509,16.5
2010,Kazakhstan,19073.506,4.9,Ukraine,7712.059,16.5
2011,Kazakhstan,20625.812,4.9,Ukraine,8327.929,16.5
2012,Kazakhstan,21745.787,4.9,Ukraine,8516.684,16.5
2013,Kazakhstan,23080.866,4.9,Ukraine,9151.217,16.5
2014,Kazakhstan,24108.019,4.9,Ukraine,8242.064,16.5
2015,Kazakhstan,24267.898,4.9,Ukraine,7518.823,16.5
2016,Kazakhstan,27241.25372,4.9,Ukraine,8845.045749,16.5
2017,Kazakhstan,30578.91146,4.9,Ukraine,10405.19697,16.5
2018,Kazakhstan,34325.5063,4.9,Ukraine,12240.53861,16.5
2019,Kazakhstan,38531.1421,4.9,Ukraine,14399.61068,16.5
2020,Kazakhstan,43252.06156,4.9,Ukraine,16939.51504,16.5
2021,Kazakhstan,48551.39835,4.9,Ukraine,19927.42554,16.5
2022,Kazakhstan,54500.02143,4.9,Ukraine,23442.36466,16.5
2023,Kazakhstan,61177.48277,4.9,Ukraine,27577.2934,16.5
2024,Kazakhstan,68673.08121,4.9,Ukraine,32441.56987,16.5
2025,Kazakhstan,77087.0567,4.9,Ukraine,38163.84156,16.5
2026,Kazakhstan,86531.9308,4.9,Ukraine,44895.44768,16.5
2027,Kazakhstan,97134.01144,4.9,Ukraine,52814.4217,16.5
2028,Kazakhstan,109035.0821,4.9,Ukraine,62130.19992,16.5
2029,Kazakhstan,122394.2979,4.9,Ukraine,73089.16046,16.5
2030,Kazakhstan,137390.3138,4.9,Ukraine,85981.13934,16.5
2031,Kazakhstan,154223.6743,4.9,Ukraine,101147.0959,16.5
2032,Kazakhstan,173119.4948,4.9,Ukraine,118988.1303,16.5
2033,Kazakhstan,194330.4724,4.9,Ukraine,139976.0915,16.5
2034,Kazakhstan,218140.2652,4.9,Ukraine,164666.0565,16.5
2035,Kazakhstan,244867.2856,4.9,Ukraine,193711.0107,16.5
2036,Kazakhstan,274868.9588,4.9,Ukraine,227879.1178,16.5
2037,Kazakhstan,308546.5024,4.9,Ukraine,268074.0353,16.5
2038,Kazakhstan,346350.2919,4.9,Ukraine,315358.8143,16.5
2039,Kazakhstan,388785.8841,4.9,Ukraine,370984.0144,16.5
2040,Kazakhstan,436420.7775,4.9,Ukraine,436420.7775,16.5
1992,Kyrgyz Republic,1829.103,4.5,Ukraine,6136.614,3.4
1993,Kyrgyz Republic,1601.939,4.5,Ukraine,5368.863,3.4
1994,Kyrgyz Republic,1306.219,4.5,Ukraine,4269.102,3.4
1995,Kyrgyz Republic,1237.38,4.5,Ukraine,3861.047,3.4
1996,Kyrgyz Republic,1330.38,4.5,Ukraine,3577.554,3.4
1997,Kyrgyz Republic,1464.839,4.5,Ukraine,3553.328,3.4
1998,Kyrgyz Republic,1488.488,4.5,Ukraine,3557.193,3.4
1999,Kyrgyz Republic,1545.131,4.5,Ukraine,3635.86,3.4
2000,Kyrgyz Republic,1649.582,4.5,Ukraine,3975.704,3.4
2001,Kyrgyz Republic,1760.112,4.5,Ukraine,4480.447,3.4
2002,Kyrgyz Republic,1770.635,4.5,Ukraine,4834.009,3.4
2003,Kyrgyz Republic,1909.503,4.5,Ukraine,5442.968,3.4
2004,Kyrgyz Republic,2074.205,4.5,Ukraine,6297.662,3.4
2005,Kyrgyz Republic,2115.64,4.5,Ukraine,6750.262,3.4
2006,Kyrgyz Republic,2223.227,4.5,Ukraine,7530.139,3.4
2007,Kyrgyz Republic,2457.883,4.5,Ukraine,8415.153,3.4
2008,Kyrgyz Republic,2665.926,4.5,Ukraine,8816.413,3.4
2009,Kyrgyz Republic,2728.361,4.5,Ukraine,7568.509,3.4
2010,Kyrgyz Republic,2718.916,4.5,Ukraine,7712.059,3.4
2011,Kyrgyz Republic,2900.981,4.5,Ukraine,8327.929,3.4
2012,Kyrgyz Republic,2870.349,4.5,Ukraine,8516.684,3.4
2013,Kyrgyz Republic,3161.08,4.5,Ukraine,9151.217,3.4
2014,Kyrgyz Republic,3261.863,4.5,Ukraine,8242.064,3.4
2015,Kyrgyz Republic,3362.61,4.5,Ukraine,7518.823,3.4
2016,Kyrgyz Republic,3624.674178,4.5,Ukraine,7848.079623,3.4
2017,Kyrgyz Republic,3907.162262,4.5,Ukraine,8191.754716,3.4
2018,Kyrgyz Republic,4211.665986,4.5,Ukraine,8550.479677,3.4
2019,Kyrgyz Republic,4539.901132,4.5,Ukraine,8924.913556,3.4
2020,Kyrgyz Republic,4893.717203,4.5,Ukraine,9315.744262,3.4
2021,Kyrgyz Republic,5275.107841,4.5,Ukraine,9723.689827,3.4
2022,Kyrgyz Republic,5686.222065,4.5,Ukraine,10149.49973,3.4
2023,Kyrgyz Republic,6129.376374,4.5,Ukraine,10593.95626,3.4
2024,Kyrgyz Republic,6607.067804,4.5,Ukraine,11057.87598,3.4
2025,Kyrgyz Republic,7121.987997,4.5,Ukraine,11542.1112,3.4
2026,Kyrgyz Republic,7677.038369,4.5,Ukraine,12047.55155,3.4
2027,Kyrgyz Republic,8275.346453,4.5,Ukraine,12575.12563,3.4
2028,Kyrgyz Republic,8920.28353,4.5,Ukraine,13125.8027,3.4
2029,Kyrgyz Republic,9615.483619,4.5,Ukraine,13700.59446,3.4
2030,Kyrgyz Republic,10364.86395,4.5,Ukraine,14300.55691,3.4
2031,Kyrgyz Republic,11172.64706,4.5,Ukraine,14926.7923,3.4
2032,Kyrgyz Republic,12043.38454,4.5,Ukraine,15580.45115,3.4
2033,Kyrgyz Republic,12981.98274,4.5,Ukraine,16262.73437,3.4
2034,Kyrgyz Republic,13993.73035,4.5,Ukraine,16974.89543,3.4
2035,Kyrgyz Republic,15084.32826,4.5,Ukraine,17718.24273,3.4
2036,Kyrgyz Republic,16259.92164,4.5,Ukraine,18494.14193,3.4
2037,Kyrgyz Republic,17527.13461,4.5,Ukraine,19304.01852,3.4
2038,Kyrgyz Republic,18893.10751,4.5,Ukraine,20149.36039,3.4
2039,Kyrgyz Republic,20365.53716,4.5,Ukraine,21031.72062,3.4
2040,Kyrgyz Republic,21952.72026,4.5,Ukraine,21952.72026,3.4
1992,Moldova,2229.062,3.8,Ukraine,6136.614,3.2
1993,Moldova,2260.564,3.8,Ukraine,5368.863,3.2
1994,Moldova,1593.495,3.8,Ukraine,4269.102,3.2
1995,Moldova,1605.272,3.8,Ukraine,3861.047,3.2
1996,Moldova,1543.412,3.8,Ukraine,3577.554,3.2
1997,Moldova,1601,3.8,Ukraine,3553.328,3.2
1998,Moldova,1786.353,3.8,Ukraine,3557.193,3.2
1999,Moldova,1755.332,3.8,Ukraine,3635.86,3.2
2000,Moldova,1836.058,3.8,Ukraine,3975.704,3.2
2001,Moldova,1998.15,3.8,Ukraine,4480.447,3.2
2002,Moldova,2191.671,3.8,Ukraine,4834.009,3.2
2003,Moldova,2389.687,3.8,Ukraine,5442.968,3.2
2004,Moldova,2644.164,3.8,Ukraine,6297.662,3.2
2005,Moldova,2939.67,3.8,Ukraine,6750.262,3.2
2006,Moldova,3184.259,3.8,Ukraine,7530.139,3.2
2007,Moldova,3375.283,3.8,Ukraine,8415.153,3.2
2008,Moldova,3719.95,3.8,Ukraine,8816.413,3.2
2009,Moldova,3528.834,3.8,Ukraine,7568.509,3.2
2010,Moldova,3829.429,3.8,Ukraine,7712.059,3.2
2011,Moldova,4178.694,3.8,Ukraine,8327.929,3.2
2012,Moldova,4225.514,3.8,Ukraine,8516.684,3.2
2013,Moldova,4698.127,3.8,Ukraine,9151.217,3.2
2014,Moldova,5006.791,3.8,Ukraine,8242.064,3.2
2015,Moldova,5006.241,3.8,Ukraine,7518.823,3.2
2016,Moldova,5302.528138,3.8,Ukraine,7835.298855,3.2
2017,Moldova,5616.350603,3.8,Ukraine,8165.095541,3.2
2018,Moldova,5948.746196,3.8,Ukraine,8508.773746,3.2
2019,Moldova,6300.814142,3.8,Ukraine,8866.91776,3.2
2020,Moldova,6673.718721,3.8,Ukraine,9240.136465,3.2
2021,Moldova,7068.693118,3.8,Ukraine,9629.064372,3.2
2022,Moldova,7487.043505,3.8,Ukraine,10034.3627,3.2
2023,Moldova,7930.153354,3.8,Ukraine,10456.7205,3.2
2024,Moldova,8399.488019,3.8,Ukraine,10896.85582,3.2
2025,Moldova,8896.599578,3.8,Ukraine,11355.51693,3.2
2026,Moldova,9423.131966,3.8,Ukraine,11833.48362,3.2
2027,Moldova,9980.826413,3.8,Ukraine,12331.56848,3.2
2028,Moldova,10571.5272,3.8,Ukraine,12850.61829,3.2
2029,Moldova,11197.18776,3.8,Ukraine,13391.5155,3.2
2030,Moldova,11859.87713,3.8,Ukraine,13955.1797,3.2
2031,Moldova,12561.78682,3.8,Ukraine,14542.56917,3.2
2032,Moldova,13305.23802,3.8,Ukraine,15154.68253,3.2
2033,Moldova,14092.6893,3.8,Ukraine,15792.56044,3.2
2034,Moldova,14926.74475,3.8,Ukraine,16457.28736,3.2
2035,Moldova,15810.16257,3.8,Ukraine,17149.9934,3.2
2036,Moldova,16745.86419,3.8,Ukraine,17871.85623,3.2
2037,Moldova,17736.94396,3.8,Ukraine,18624.10309,3.2
2038,Moldova,18786.67935,3.8,Ukraine,19408.01288,3.2
2039,Moldova,19898.54182,3.8,Ukraine,20224.91832,3.2
2040,Moldova,21076.20826,3.8,Ukraine,21076.20826,3.2
1992,Russia,11436.728,1.5,Ukraine,6136.614,7.8
1993,Russia,10704.543,1.5,Ukraine,5368.863,7.8
1994,Russia,9537.54,1.5,Ukraine,4269.102,7.8
1995,Russia,9349.847,1.5,Ukraine,3861.047,7.8
1996,Russia,9177.014,1.5,Ukraine,3577.554,7.8
1997,Russia,9495.082,1.5,Ukraine,3553.328,7.8
1998,Russia,9103.551,1.5,Ukraine,3557.193,7.8
1999,Russia,9870.036,1.5,Ukraine,3635.86,7.8
2000,Russia,11154.256,1.5,Ukraine,3975.704,7.8
2001,Russia,12080.112,1.5,Ukraine,4480.447,7.8
2002,Russia,12871.483,1.5,Ukraine,4834.009,7.8
2003,Russia,14154.247,1.5,Ukraine,5442.968,7.8
2004,Russia,15641.296,1.5,Ukraine,6297.662,7.8
2005,Russia,17245.915,1.5,Ukraine,6750.262,7.8
2006,Russia,19279.016,1.5,Ukraine,7530.139,7.8
2007,Russia,21481.307,1.5,Ukraine,8415.153,7.8
2008,Russia,23068.28,1.5,Ukraine,8816.413,7.8
2009,Russia,21410.554,1.5,Ukraine,7568.509,7.8
2010,Russia,22632.373,1.5,Ukraine,7712.059,7.8
2011,Russia,24067.77,1.5,Ukraine,8327.929,7.8
2012,Russia,25317.569,1.5,Ukraine,8516.684,7.8
2013,Russia,25986.826,1.5,Ukraine,9151.217,7.8
2014,Russia,26138.042,1.5,Ukraine,8242.064,7.8
2015,Russia,25410.917,1.5,Ukraine,7518.823,7.8
2016,Russia,26335.33765,1.5,Ukraine,8181.317245,7.8
2017,Russia,27293.38768,1.5,Ukraine,8902.184804,7.8
2018,Russia,28286.2905,1.5,Ukraine,9686.569035,7.8
2019,Russia,29315.314,1.5,Ukraine,10540.06648,7.8
2020,Russia,30381.77223,1.5,Ukraine,11468.76681,7.8
2021,Russia,31487.02701,1.5,Ukraine,12479.29625,7.8
2022,Russia,32632.48973,1.5,Ukraine,13578.86488,7.8
2023,Russia,33819.62308,1.5,Ukraine,14775.31808,7.8
2024,Russia,35049.94302,1.5,Ukraine,16077.19249,7.8
2025,Russia,36325.02062,1.5,Ukraine,17493.7769,7.8
2026,Russia,37646.48411,1.5,Ukraine,19035.1786,7.8
2027,Russia,39016.02096,1.5,Ukraine,20712.3954,7.8
2028,Russia,40435.38002,1.5,Ukraine,22537.39417,7.8
2029,Russia,41906.37377,1.5,Ukraine,24523.19619,7.8
2030,Russia,43430.88063,1.5,Ukraine,26683.97007,7.8
2031,Russia,45010.84733,1.5,Ukraine,29035.13282,7.8
2032,Russia,46648.29145,1.5,Ukraine,31593.45989,7.8
2033,Russia,48345.30395,1.5,Ukraine,34377.20481,7.8
2034,Russia,50104.05185,1.5,Ukraine,37406.22948,7.8
2035,Russia,51926.78104,1.5,Ukraine,40702.14584,7.8
2036,Russia,53815.81907,1.5,Ukraine,44288.4701,7.8
2037,Russia,55773.57818,1.5,Ukraine,48190.79052,7.8
2038,Russia,57802.55837,1.5,Ukraine,52436.94998,7.8
2039,Russia,59905.35058,1.5,Ukraine,57057.24461,7.8
2040,Russia,62084.64001,1.5,Ukraine,62084.64001,7.8
1992,Tajikistan,1311.38,4.5,Ukraine,6136.614,1.5
1993,Tajikistan,1185.626,4.5,Ukraine,5368.863,1.5
1994,Tajikistan,946.075,4.5,Ukraine,4269.102,1.5
1995,Tajikistan,836.028,4.5,Ukraine,3861.047,1.5
1996,Tajikistan,804.503,4.5,Ukraine,3577.554,1.5
1997,Tajikistan,819.725,4.5,Ukraine,3553.328,1.5
1998,Tajikistan,855.479,4.5,Ukraine,3557.193,1.5
1999,Tajikistan,873.042,4.5,Ukraine,3635.86,1.5
2000,Tajikistan,947.94,4.5,Ukraine,3975.704,1.5
2001,Tajikistan,1047.406,4.5,Ukraine,4480.447,1.5
2002,Tajikistan,1136.902,4.5,Ukraine,4834.009,1.5
2003,Tajikistan,1252.157,4.5,Ukraine,5442.968,1.5
2004,Tajikistan,1393.503,4.5,Ukraine,6297.662,1.5
2005,Tajikistan,1503.679,4.5,Ukraine,6750.262,1.5
2006,Tajikistan,1624.686,4.5,Ukraine,7530.139,1.5
2007,Tajikistan,1760.163,4.5,Ukraine,8415.153,1.5
2008,Tajikistan,1894.952,4.5,Ukraine,8816.413,1.5
2009,Tajikistan,1942.759,4.5,Ukraine,7568.509,1.5
2010,Tajikistan,2070.449,4.5,Ukraine,7712.059,1.5
2011,Tajikistan,2216.002,4.5,Ukraine,8327.929,1.5
2012,Tajikistan,2376.185,4.5,Ukraine,8516.684,1.5
2013,Tajikistan,2540.278,4.5,Ukraine,9151.217,1.5
2014,Tajikistan,2698.338,4.5,Ukraine,8242.064,1.5
2015,Tajikistan,2749.403,4.5,Ukraine,7518.823,1.5
2016,Tajikistan,2932.675107,4.5,Ukraine,7703.692755,1.5
2017,Tajikistan,3128.163927,4.5,Ukraine,7893.108011,1.5
2018,Tajikistan,3336.683811,4.5,Ukraine,8087.180533,1.5
2019,Tajikistan,3559.103395,4.5,Ukraine,8286.024831,1.5
2020,Tajikistan,3796.349219,4.5,Ukraine,8489.758232,1.5
2021,Tajikistan,4049.409582,4.5,Ukraine,8698.500946,1.5
2022,Tajikistan,4319.338663,4.5,Ukraine,8912.376141,1.5
2023,Tajikistan,4607.260914,4.5,Ukraine,9131.510012,1.5
2024,Tajikistan,4914.375737,4.5,Ukraine,9356.031857,1.5
2025,Tajikistan,5241.962488,4.5,Ukraine,9586.074154,1.5
2026,Tajikistan,5591.385803,4.5,Ukraine,9821.772637,1.5
2027,Tajikistan,5964.101283,4.5,Ukraine,10063.26638,1.5
2028,Tajikistan,6361.661557,4.5,Ukraine,10310.69787,1.5
2029,Tajikistan,6785.722751,4.5,Ukraine,10564.21311,1.5
2030,Tajikistan,7238.051387,4.5,Ukraine,10823.96167,1.5
2031,Tajikistan,7720.531739,4.5,Ukraine,11090.09683,1.5
2032,Tajikistan,8235.173689,4.5,Ukraine,11362.77561,1.5
2033,Tajikistan,8784.121092,4.5,Ukraine,11642.1589,1.5
2034,Tajikistan,9369.66071,4.5,Ukraine,11928.41156,1.5
2035,Tajikistan,9994.231739,4.5,Ukraine,12221.70248,1.5
2036,Tajikistan,10660.43597,4.5,Ukraine,12522.20472,1.5
2037,Tajikistan,11371.04862,4.5,Ukraine,12830.09558,1.5
2038,Tajikistan,12129.02992,4.5,Ukraine,13145.55674,1.5
2039,Tajikistan,12937.53739,4.5,Ukraine,13468.77433,1.5
2040,Tajikistan,13799.93906,4.5,Ukraine,13799.93906,1.5
1992,Turkmenistan,2991.946,6.5,Ukraine,6136.614,17.3
1993,Turkmenistan,2729.252,6.5,Ukraine,5368.863,17.3
1994,Turkmenistan,2246.824,6.5,Ukraine,4269.102,17.3
1995,Turkmenistan,2081.525,6.5,Ukraine,3861.047,17.3
1996,Turkmenistan,1940.586,6.5,Ukraine,3577.554,17.3
1997,Turkmenistan,1723.193,6.5,Ukraine,3553.328,17.3
1998,Turkmenistan,1833.521,6.5,Ukraine,3557.193,17.3
1999,Turkmenistan,2142.334,6.5,Ukraine,3635.86,17.3
2000,Turkmenistan,2568.323,6.5,Ukraine,3975.704,17.3
2001,Turkmenistan,3127.51,6.5,Ukraine,4480.447,17.3
2002,Turkmenistan,3637.554,6.5,Ukraine,4834.009,17.3
2003,Turkmenistan,4299.604,6.5,Ukraine,5442.968,17.3
2004,Turkmenistan,5014.227,6.5,Ukraine,6297.662,17.3
2005,Turkmenistan,5787.661,6.5,Ukraine,6750.262,17.3
2006,Turkmenistan,6545.631,6.5,Ukraine,7530.139,17.3
2007,Turkmenistan,7375.821,6.5,Ukraine,8415.153,17.3
2008,Turkmenistan,8525.504,6.5,Ukraine,8816.413,17.3
2009,Turkmenistan,9004.622,6.5,Ukraine,7568.509,17.3
2010,Turkmenistan,9825.129,6.5,Ukraine,7712.059,17.3
2011,Turkmenistan,11360.511,6.5,Ukraine,8327.929,17.3
2012,Turkmenistan,12683.759,6.5,Ukraine,8516.684,17.3
2013,Turkmenistan,14022.488,6.5,Ukraine,9151.217,17.3
2014,Turkmenistan,15501.709,6.5,Ukraine,8242.064,17.3
2015,Turkmenistan,16444.54,6.5,Ukraine,7518.823,17.3
2016,Turkmenistan,18876.57884,6.5,Ukraine,8905.253621,17.3
2017,Turkmenistan,21668.30016,6.5,Ukraine,10547.33461,17.3
2018,Turkmenistan,24872.89861,6.5,Ukraine,12492.20652,17.3
2019,Turkmenistan,28551.43602,6.5,Ukraine,14795.70239,17.3
2020,Turkmenistan,32774.0048,6.5,Ukraine,17523.95052,17.3
2021,Turkmenistan,37621.06361,6.5,Ukraine,20755.27298,17.3
2022,Turkmenistan,43184.97041,6.5,Ukraine,24582.43396,17.3
2023,Turkmenistan,49571.74226,6.5,Ukraine,29115.3029,17.3
2024,Turkmenistan,56903.07549,6.5,Ukraine,34484.00854,17.3
2025,Turkmenistan,65318.66447,6.5,Ukraine,40842.6747,17.3
2026,Turkmenistan,74978.86347,6.5,Ukraine,48373.84479,17.3
2027,Turkmenistan,86067.74209,6.5,Ukraine,57293.72224,17.3
2028,Turkmenistan,98796.5926,6.5,Ukraine,67858.37723,17.3
2029,Turkmenistan,113407.956,6.5,Ukraine,80371.09792,17.3
2030,Turkmenistan,130180.2436,6.5,Ukraine,95191.09717,17.3
2031,Turkmenistan,149433.0417,6.5,Ukraine,112743.8248,17.3
2032,Turkmenistan,171533.2014,6.5,Ukraine,133533.1812,17.3
2033,Turkmenistan,196901.8288,6.5,Ukraine,158155.9833,17.3
2034,Turkmenistan,226022.3086,6.5,Ukraine,187319.0981,17.3
2035,Turkmenistan,259449.515,6.5,Ukraine,221859.7348,17.3
2036,Turkmenistan,297820.3845,6.5,Ukraine,262769.4796,17.3
2037,Turkmenistan,341866.052,6.5,Ukraine,311222.7619,17.3
2038,Turkmenistan,392425.7828,6.5,Ukraine,368610.5694,17.3
2039,Turkmenistan,450462.9639,6.5,Ukraine,436580.3807,17.3
2040,Turkmenistan,517083.4606,6.5,Ukraine,517083.4606,17.3
1992,Uzbekistan,1768.668,6,Ukraine,6136.614,6.9
1993,Uzbekistan,1728.388,6,Ukraine,5368.863,6.9
1994,Uzbekistan,1641.101,6,Ukraine,4269.102,6.9
1995,Uzbekistan,1630.446,6,Ukraine,3861.047,6.9
1996,Uzbekistan,1656.257,6,Ukraine,3577.554,6.9
1997,Uzbekistan,1717.52,6,Ukraine,3553.328,6.9
1998,Uzbekistan,1783.762,6,Ukraine,3557.193,6.9
1999,Uzbekistan,1861.889,6,Ukraine,3635.86,6.9
2000,Uzbekistan,1950.823,6,Ukraine,3975.704,6.9
2001,Uzbekistan,2054.1,6,Ukraine,4480.447,6.9
2002,Uzbekistan,2142.545,6,Ukraine,4834.009,6.9
2003,Uzbekistan,2252.426,6,Ukraine,5442.968,6.9
2004,Uzbekistan,2464.709,6,Ukraine,6297.662,6.9
2005,Uzbekistan,2691.878,6,Ukraine,6750.262,6.9
2006,Uzbekistan,2943.423,6,Ukraine,7530.139,6.9
2007,Uzbekistan,3258.945,6,Ukraine,8415.153,6.9
2008,Uzbekistan,3561.289,6,Ukraine,8816.413,6.9
2009,Uzbekistan,3814.293,6,Ukraine,7568.509,6.9
2010,Uzbekistan,4115.578,6,Ukraine,7712.059,6.9
2011,Uzbekistan,4455.383,6,Ukraine,8327.929,6.9
2012,Uzbekistan,4802.915,6,Ukraine,8516.684,6.9
2013,Uzbekistan,5185.398,6,Ukraine,9151.217,6.9
2014,Uzbekistan,5629.941,6,Ukraine,8242.064,6.9
2015,Uzbekistan,6068.447,6,Ukraine,7518.823,6.9
2016,Uzbekistan,6604.99499,6,Ukraine,8113.755164,6.9
2017,Uzbekistan,7188.982422,6,Ukraine,8755.761754,6.9
2018,Uzbekistan,7824.603705,6,Ukraine,9448.567568,6.9
2019,Uzbekistan,8516.424097,6,Ukraine,10196.19213,6.9
2020,Uzbekistan,9269.412502,6,Ukraine,11002.97301,6.9
2021,Uzbekistan,10088.97715,6,Ukraine,11873.591,6.9
2022,Uzbekistan,10981.00445,6,Ukraine,12813.09725,6.9
2023,Uzbekistan,11951.90127,6,Ukraine,13826.94259,6.9
2024,Uzbekistan,13008.64093,6,Ukraine,14921.00915,6.9
2025,Uzbekistan,14158.81331,6,Ukraine,16101.64451,6.9
2026,Uzbekistan,15410.67936,6,Ukraine,17375.69847,6.9
2027,Uzbekistan,16773.23045,6,Ukraine,18750.56284,6.9
2028,Uzbekistan,18256.25289,6,Ukraine,20234.21433,6.9
2029,Uzbekistan,19870.39828,6,Ukraine,21835.26079,6.9
2030,Uzbekistan,21627.26,6,Ukraine,23562.99117,6.9
2031,Uzbekistan,23539.45646,6,Ukraine,25427.42944,6.9
2032,Uzbekistan,25620.72174,6,Ukraine,27439.3927,6.9
2033,Uzbekistan,27886.00423,6,Ukraine,29610.55397,6.9
2034,Uzbekistan,30351.57401,6,Ukraine,31953.5099,6.9
2035,Uzbekistan,33035.13968,6,Ukraine,34481.85387,6.9
2036,Uzbekistan,35955.97556,6,Ukraine,37210.25483,6.9
2037,Uzbekistan,39135.06016,6,Ukraine,40154.54245,6.9
2038,Uzbekistan,42595.2268,6,Ukraine,43331.79889,6.9
2039,Uzbekistan,46361.32763,6,Ukraine,46760.45799,6.9
2040,Uzbekistan,50460.41215,6,Ukraine,50460.41215,6.9
